"peak.num","subclass","Title","mz","rt","Adduct","MS2.score1","MS2.score2","rule1.score.Stand","rule2.score.Stand","final.score","top_n"
4549,"NAE","NAE 20:2_CAH_NAE 20:2",352.32,16.3177,"[M+H]+",1,0.2214,0.5,0.5,2.2214,"Top 1"
4236,"TG-O","TG-O 53:0_CAH_TG-O 17:0_18:0_18:0",880.87,15.2205,"[M+NH4]+",0.5,0.0185,0.872298925086584,0.874273339538114,2.2650722646247,"Top 1"
4156,"TG-O","TG-O 53:0_CAH_TG-O 19:0_17:0_17:0",880.87,14.9409,"[M+NH4]+",0.5,0.0173,0.802096384570774,0.804216993170187,2.12361337774096,"Top 1"
4055,"TG","TG 52:0_CAH_TG 16:0_16:0_20:0",880.833,14.5906,"[M+NH4]+",0.5,0.0491,0.874737036635285,0.874581189832835,2.29841822646812,"Top 1"
3295,"GPNAE","GPNAE 47:4_CAH_GPNAE 47:4",880.714,11.9409,"[M+H]+",1,0.0181,0.873357210742009,0.873357210742008,2.76481442148402,"Top 1"
4158,"TG-O","TG-O 53:1_CAH_TG-O 17:0_18:0_18:1",878.854,14.9456,"[M+NH4]+",0.6667,0.0213,0.874771725605343,0.874682943250453,2.4374546688558,"Top 1"
4069,"TG-O","TG-O 53:1_CAH_TG-O 19:1_17:0_17:0",878.854,14.6348,"[M+NH4]+",0.5,0.0133,0.795634879306253,0.809885973299132,2.11882085260538,"Top 1"
3983,"TG","TG 52:1_CAH_TG 16:0_18:1_18:0",878.817,14.3428,"[M+NH4]+",1,0.1447,0.870850443399802,0.873938992710561,2.88948943611036,"Top 1"
3892,"TG","TG 52:1_CAH_TG 16:0_16:0_20:1",878.816,14.0282,"[M+NH4]+",0.5,0.0181,0.806914981370537,0.808194367227513,2.13320934859805,"Top 1"
3109,"GPNAE","GPNAE 47:5_CAH_GPNAE 47:5",878.698,11.2885,"[M+H]+",1,0.0191,0.5,0.5,2.0191,"Top 1"
4080,"TG-O","TG-O 53:2_CAH_TG-O 21:2_16:0_16:0",876.838,14.6735,"[M+NH4]+",0.5,0.0109,0.874904343217044,0.874362233457077,2.26016657667412,"Top 1"
4971,"TG","TG 52:2_CAH_TG 16:0_18:1_18:1",876.801,17.7986,"[M+NH4]+",0.5,0.0122,0,0.5,1.0122,"Top 1"
3932,"TG","TG 52:2_CAH_TG 16:0_16:0_20:2",876.801,14.1667,"[M+NH4]+",0.5,0.0286,0.869997391478835,0.870612225016346,2.26920961649518,"Top 1"
3822,"TG","TG 52:3_CAH_TG 16:1_18:0_18:2",874.786,13.7875,"[M+NH4]+",0.6667,0.0397,0.872583943455256,0.873658517692959,2.45264246114822,"Top 1"
3878,"TG","TG 52:3_CAH_TG 16:0_16:0_20:3",874.785,13.9746,"[M+NH4]+",0.5,0.009,0.822139970056689,0.828804854549684,2.15994482460637,"Top 1"
966,"NAE","NAE 20:1_CAH_NAE 20:1",354.337,3.878,"[M+H]+",1,0.2607,0.873067460762717,0.873067460762717,3.00683492152543,"Top 1"
3705,"TG","TG 52:4_CAH_TG 16:1_18:0_18:3",872.77,13.378,"[M+NH4]+",0.6667,0.0175,0.859806440986197,0.874943230446256,2.41894967143245,"Top 1"
3765,"TG","TG 52:4_CAH_TG 16:1_16:0_20:3",872.77,13.5861,"[M+NH4]+",1,0.0247,0.86880356251854,0.874993687282545,2.76849724980108,"Top 1"
3643,"TG","TG 52:5_CAH_TG 16:1_16:0_20:4",870.755,13.1646,"[M+NH4]+",0.6667,0.0203,0.874995348924453,0.874995348924453,2.43699069784891,"Top 1"
3588,"TG","TG 52:6_CAH_TG 16:0_18:3_18:3",868.739,12.9667,"[M+NH4]+",0.5,0.0099,0.874827299348444,0.874997527505541,2.25972482685399,"Top 1"
4222,"TG-O","TG-O 52:0_CAH_TG-O 16:0_18:0_18:0",866.854,15.1761,"[M+NH4]+",0.5,0.0175,0.852810780311903,0.863859448052056,2.23417022836396,"Top 1"
4008,"TG","TG 51:0_CAH_TG 15:0_18:0_18:0",866.817,14.4238,"[M+NH4]+",0.5,0.054,0.874812059212979,0.874751688906009,2.30356374811899,"Top 1"
4108,"TG-O","TG-O 52:1_CAH_TG-O 16:0_18:0_18:1",864.838,14.7717,"[M+NH4]+",0.6667,0.023,0.871983463511716,0.874227510946466,2.43591097445818,"Top 1"
3843,"TG","TG 51:1_CAH_TG 17:0_17:0_17:1",864.801,13.8591,"[M+NH4]+",1,0.0118,0.806919230256286,0.808845195545962,2.62756442580225,"Top 1"
3925,"TG","TG 51:1_CAH_TG 16:0_17:0_18:1",864.801,14.1391,"[M+NH4]+",1,0.1116,0.873425601757397,0.874921249135445,2.85994685089284,"Top 1"
3555,"CoQ10_CAH_CoQ10","CoQ10_CAH_CoQ10",863.691,12.8552,"[M+H]+",0.5,0.2469,0.5,0.5,1.7469,"Top 1"
4892,"NAE","NAE 20:0_CAH_NAE 20:0",356.352,17.5314,"[M+H]+",1,0.2518,0.874387572815121,0.874962366100305,3.00114993891543,"Top 1"
4031,"TG-O","TG-O 52:2_CAH_TG-O 20:2_16:0_16:0",862.822,14.5019,"[M+NH4]+",0.5,0.0265,0.871222849922997,0.872950013454021,2.27067286337702,"Top 1"
3862,"TG","TG 51:2_CAH_TG 17:0_17:1_17:1",862.786,13.926,"[M+NH4]+",1,0.0324,0.871596707681237,0.873985340221193,2.77798204790243,"Top 1"
3745,"TG","TG 51:2_CAH_TG 16:0_16:0_19:2",862.786,13.5169,"[M+NH4]+",0.5,0.0071,0.801862682031815,0.783526804335855,2.09248948636767,"Top 1"
3958,"TG-O","TG-O 52:3_CAH_TG-O 20:3_16:0_16:0",860.807,14.2504,"[M+NH4]+",0.5,0.0063,0.874936117521671,0.874936117521672,2.25617223504334,"Top 1"
3806,"TG","TG 51:3_CAH_TG 16:1_17:0_18:2",860.77,13.7276,"[M+NH4]+",0.6667,0.0166,0.846068296957025,0.851147906602855,2.38051620355988,"Top 1"
3747,"TG","TG 51:3_CAH_TG 15:0_18:3_18:0",860.769,13.5215,"[M+NH4]+",0.6667,0.0134,0.874884032938484,0.87485823988435,2.42984227282283,"Top 1"
3670,"TG","TG 51:4_CAH_TG 15:1_16:0_20:3",858.754,13.2524,"[M+NH4]+",1,0.0166,0.874092826678636,0.874966409999187,2.76565923667782,"Top 1"
3198,"GPNAE","GPNAE 46:8_CAH_GPNAE 46:8",858.637,11.5997,"[M+H]+",1,0.0089,0.5,0.5,2.0089,"Top 1"
3757,"TG-O","TG-O 52:6_CAH_TG-O 16:0_14:0_22:6",854.759,13.5562,"[M+NH4]+",0.6667,0.0489,0.5,0.5,1.7156,"Top 1"
3268,"GPNAE","GPNAE 45:3_CAH_GPNAE 45:3",854.698,11.8437,"[M+H]+",1,0.0146,0.5,0.5,2.0146,"Top 1"
3268,"CAR","CAR 50:11_CAH_CAR 50:11",854.698,11.8437,"[M]+",0.5,0.0146,0.5,0.5,1.5146,"Top 2"
4146,"TG-O","TG-O 51:0_CAH_TG-O 19:0_16:0_16:0",852.839,14.9059,"[M+NH4]+",0.5,0.0293,0.874456995983885,0.874475353923752,2.27823234990764,"Top 1"
3965,"TG","TG 50:0_CAH_TG 14:0_18:0_18:0",852.802,14.2782,"[M+NH4]+",0.5,0.0616,0.871463714800743,0.87408297594261,2.30714669074335,"Top 1"
3139,"GPNAE","GPNAE 45:4_CAH_GPNAE 45:4",852.682,11.3928,"[M+H]+",1,0.0245,0.87214251072463,0.87214251072463,2.76878502144926,"Top 1"
3139,"CAR","CAR 50:12_CAH_CAR 50:12",852.682,11.3928,"[M]+",0.5,0.0245,0.5,0.5,1.5245,"Top 2"
3981,"TG-O","TG-O 51:1_CAH_TG-O 17:1_17:0_17:0",850.822,14.3286,"[M+NH4]+",0.5,0.0077,0.797300204663293,0.84467451630228,2.14967472096557,"Top 1"
4066,"TG-O","TG-O 51:1_CAH_TG-O 16:0_17:0_18:1",850.822,14.6277,"[M+NH4]+",0.6667,0.0214,0.874773844448733,0.874799201404389,2.43767304585312,"Top 1"
3882,"TG","TG 50:1_CAH_TG 16:0_16:0_18:1",850.785,13.9951,"[M+NH4]+",1,0.1345,0.872646882982362,0.873798165152193,2.88094504813456,"Top 1"
3088,"CE","CE 33:15_CAH_CE 33:15",850.653,11.2166,"[M+NH4]+",0.75,0.0701,0.5,0.5,1.8201,"Top 1"
3088,"LDGCC","LDGCC 43:9_CAH_LDGCC 43:9",850.653,11.2166,"[M+H]+",0.75,0.0677,0.5,0.5,1.8177,"Top 2"
2867,"PE","PE 44:5_CAH_PE 20:4_24:1",850.632,10.451,"[M+H]+",0.75,0.0337,0.5,0.5,1.7837,"Top 1"
361,"MG","MG 17:0_CAH_MG 17:0",362.326,1.7358,"[M+NH4]+",1,0.1688,0.869168913625483,0.869990672385362,2.90795958601084,"Top 1"
3991,"TG-O","TG-O 51:2_CAH_TG-O 15:0_16:0_20:2",848.806,14.3632,"[M+NH4]+",0.6667,0.0181,0.874710312320451,0.874886343758892,2.43439665607934,"Top 1"
3832,"TG","TG 50:2_CAH_TG 16:0_17:1_17:1",848.77,13.8221,"[M+NH4]+",0.5,0.0234,0.874840042985333,0.874972132690218,2.27321217567555,"Top 1"
3713,"TG","TG 50:3_CAH_TG 16:0_16:0_18:3",846.754,13.4079,"[M+NH4]+",0.5,0.0138,0.872574314809821,0.873406349299783,2.2597806641096,"Top 1"
279,"CAR","CAR 14:0_CAH_CAR 14:0",372.311,1.4572,"[M]+",1,0.0995,0.846003455674728,0.77521633694852,2.72071979262325,"Top 2"
279,"MG","MG 18:2_CAH_MG 18:2",372.311,1.4572,"[M+NH4]+",1,0.0716,0.844527394528832,0.870239060264637,2.78636645479347,"Top 1"
3596,"TG","TG 50:4_CAH_TG 16:2_16:1_18:1",844.739,12.9969,"[M+NH4]+",0.6667,0.0238,0.874994516094856,0.874998769619472,2.44049328571433,"Top 1"
3654,"TG","TG 50:4_CAH_TG 16:0_16:3_18:1",844.738,13.2018,"[M+NH4]+",0.6667,0.0118,0.84081280857624,0.874810049473119,2.39412285804936,"Top 1"
3057,"SM","SM 44:3_CAH_SM 18:1;2O/26:2",839.698,11.1104,"[M+H]+",0.75,0.0279,0.5,0.5,1.7779,"Top 1"
4105,"TG-O","TG-O 50:0_CAH_TG-O 14:0_18:0_18:0",838.823,14.7647,"[M+NH4]+",0.5,0.0162,0.874300044769296,0.872945745025621,2.26344578979492,"Top 1"
3905,"TG","TG 49:0_CAH_TG 13:0_18:0_18:0",838.786,14.0698,"[M+NH4]+",0.5,0.0137,0.873335233925714,0.87430979454932,2.26134502847503,"Top 1"
4759,"NAE","NAE 22:3_CAH_NAE 22:3",378.335,17.0572,"[M+H]+",1,0.2193,0.5,0.5,2.2193,"Top 1"
4015,"TG-O","TG-O 50:1_CAH_TG-O 16:0_16:0_18:1",836.806,14.4515,"[M+NH4]+",1,0.053,0.871286402098816,0.87175096766607,2.79603736976489,"Top 1"
3935,"TG-O","TG-O 50:1_CAH_TG-O 17:0_14:0_19:1",836.806,14.1737,"[M+NH4]+",0.6667,0.0155,0.801011113483663,0.868581752858815,2.35179286634248,"Top 1"
3842,"TG","TG 49:1_CAH_TG 16:0_16:0_17:1",836.77,13.8567,"[M+NH4]+",1,0.0628,0.863953685091614,0.871412324038988,2.7981660091306,"Top 1"
4810,"NAE","NAE 22:0_CAH_NAE 22:0",384.384,17.2366,"[M+H]+",1,0.2517,0.874992652864117,0.874963819226627,3.00165647209074,"Top 1"
3937,"TG-O","TG-O 50:2_CAH_TG-O 18:2_16:0_16:0",834.791,14.1784,"[M+NH4]+",0.5,0.0095,0.870163584284597,0.873734777690245,2.25339836197484,"Top 1"
3725,"TG","TG 49:2_CAH_TG 14:0_16:0_19:2",834.754,13.4475,"[M+NH4]+",0.6667,0.0265,0.869710351109443,0.851668621179905,2.41457897228935,"Top 1"
3783,"TG","TG 49:2_CAH_TG 14:0_17:0_18:2",834.754,13.651,"[M+NH4]+",0.6667,0.0137,0.874764025157416,0.87221238273843,2.42737640789585,"Top 1"
410,"MG","MG 19:0_CAH_MG 19:0",390.357,1.9046,"[M+NH4]+",1,0.1751,0.837214461811972,0.834022937848957,2.84633739966093,"Top 1"
3667,"TG","TG 49:3_CAH_TG 13:1_18:1_18:1",832.738,13.2436,"[M+NH4]+",0.5,0.0075,0.872493613982565,0.874587417642038,2.2545810316246,"Top 1"
2830,"DG-O","DG-O 53:17_CAH_DG-O 29:11_24:6",832.622,10.3212,"[M+NH4]+",1,0.0118,0.5,0.5,2.0118,"Top 1"
2830,"Cer","Cer 56:16_CAH_Cer 23:1;2O/33:15;O",832.622,10.3212,"[M+H]+",0.75,0.0067,0.5,0.5,1.7567,"Top 2"
2927,"DG-O","DG-O 53:17_CAH_DG-O 31:11_22:6",832.621,10.6593,"[M+NH4]+",1,0.0367,0.5,0.5,2.0367,"Top 1"
2927,"CAR","CAR 49:15_CAH_CAR 49:15",832.621,10.6593,"[M]+",0.5,0.0141,0.5,0.5,1.5141,"Top 3"
2927,"Cer","Cer 56:16_CAH_Cer 24:0;2O/32:16;O",832.621,10.6593,"[M+H]+",1,0.0153,0.5,0.5,2.0153,"Top 2"
833,"NAE","NAE 23:1_CAH_NAE 23:1",396.384,3.3822,"[M+H]+",1,0.0686,0.867249647455659,0,1.93584964745566,"Top 1"
3100,"GPNAE","GPNAE 43:3_CAH_GPNAE 43:3",826.666,11.2575,"[M+H]+",1,0.0077,0.5,0.5,2.0077,"Top 1"
342,"MG","MG 20:2_CAH_MG 20:2",400.342,1.6691,"[M+NH4]+",1,0.0873,0.840093340078625,0.872102837330697,2.79949617740932,"Top 2"
342,"CAR","CAR 16:0_CAH_CAR 16:0",400.342,1.6691,"[M]+",1,0.1166,0.841665792355011,0.872233346810685,2.8304991391657,"Top 1"
4059,"TG-O","TG-O 49:0_CAH_TG-O 17:0_16:0_16:0",824.806,14.6,"[M+NH4]+",0.5,0.055,0.874567050184513,0.873644866757736,2.30321191694225,"Top 1"
3856,"TG","TG 48:0_CAH_TG 16:0_16:0_16:0",824.77,13.9008,"[M+NH4]+",1,0.1444,0.87496330805386,0.874784499043121,2.89414780709698,"Top 1"
3763,"TG","TG 48:0_CAH_TG 12:0_18:0_18:0",824.77,13.5814,"[M+NH4]+",0.5,0.0042,0.800744948442215,0.800466170245809,2.10541111868802,"Top 1"
3977,"TG-O","TG-O 49:1_CAH_TG-O 17:0_14:0_18:1",822.79,14.3176,"[M+NH4]+",0.6667,0.0185,0.873338724879474,0.87492892149113,2.4334676463706,"Top 1"
3802,"TG","TG 48:1_CAH_TG 16:0_16:0_16:1",822.754,13.7182,"[M+NH4]+",1,0.0886,0.854408099098196,0.874553839480858,2.81756193857905,"Top 1"
3692,"TG","TG 48:2_CAH_TG 14:0_16:0_18:2",820.738,13.3363,"[M+NH4]+",0.6667,0.0361,0.874530799561609,0.871910367846951,2.44924116740856,"Top 1"
404,"CAR","CAR 17:0_CAH_CAR 17:0",414.358,1.8793,"[M]+",1,0.1144,0.860472255553392,0.869936993703973,2.84480924925737,"Top 1"
404,"MG","MG 21:2_CAH_MG 21:2",414.358,1.8793,"[M+NH4]+",1,0.0819,0.859811183286355,0.869706606043836,2.81141778933019,"Top 2"
3634,"TG","TG 48:3_CAH_TG 14:0_14:1_20:2",818.723,13.1321,"[M+NH4]+",0.6667,0.0094,0.865883963179805,0.874588070744348,2.41657203392415,"Top 1"
3578,"TG","TG 48:3_CAH_TG 16:3_16:0_16:0",818.722,12.9318,"[M+NH4]+",0.5,0.0058,0.874297248265925,0.874337359140037,2.25443460740596,"Top 1"
561,"MG","MG 21:0_CAH_MG 21:0",418.389,2.4262,"[M+NH4]+",1,0.184,0.871050565575938,0.872228819723898,2.92727938529984,"Top 1"
1176,"NAE","NAE 25:1_CAH_NAE 25:1",424.414,4.6081,"[M+H]+",1,0.102,0.8739178652812,0.8739178652812,2.8498357305624,"Top 1"
382,"MG","MG 22:3_CAH_MG 22:3",426.358,1.8056,"[M+NH4]+",1,0.0922,0.222909250124326,0.193972585556303,1.50908183568063,"Top 2"
382,"CAR","CAR 18:1_CAH_CAR 18:1",426.358,1.8056,"[M]+",1,0.1229,0.224055151775099,0.196342468523523,1.54329762029862,"Top 1"
482,"MG","MG 22:2_CAH_MG 22:2",428.373,2.1498,"[M+NH4]+",1,0.0897,0.85364498541197,0.872557425213292,2.81590241062526,"Top 2"
482,"CAR","CAR 18:0_CAH_CAR 18:0",428.373,2.1498,"[M]+",1,0.1212,0.854544023021591,0.872660256639069,2.84840427966066,"Top 1"
2784,"PC","PC 38:1_CAH_PC 38:1",816.647,10.1668,"[M+H]+",0.5,0.2394,0.5,0.5,1.7394,"Top 1"
443,"LPC-O","LPC-O 13:1_CAH_LPC-O 13:1",438.298,2.0147,"[M+H]+",0.75,0.0231,0.5,0.5,1.7731,"Top 1"
1061,"CE","CE 31:19_CAH_CE 31:19",814.559,4.2043,"[M+NH4]+",0.75,0.0101,0.5,0.5,1.7601,"Top 1"
1061,"DGTS","DGTS 41:12_CAH_DGTS 19:5_22:7",814.559,4.2043,"[M+H]+",0.5,0.0095,0.5,0.5,1.5095,"Top 2"
2089,"PS","PS 38:3_CAH_PS 38:3",814.559,7.7635,"[M+H]+",0.5,0.1523,0.5,0.5,1.6523,"Top 1"
2524,"PC","PC 38:3_CAH_PC 38:3",812.616,9.2704,"[M+H]+",0.5,0.237,0.874708416729213,0.873278977174679,2.48498739390389,"Top 1"
622,"MG","MG 23:1_CAH_MG 23:1",444.404,2.6361,"[M+NH4]+",1,0.0703,0.5,0.5,2.0703,"Top 1"
4010,"TG-O","TG-O 48:0_CAH_TG-O 16:0_14:0_18:0",810.79,14.4301,"[M+NH4]+",0.6667,0.0227,0.874964212103843,0.874761013344438,2.43912522544828,"Top 1"
3823,"TG","TG 47:0_CAH_TG 11:0_18:0_18:0",810.754,13.7898,"[M+NH4]+",0.5,0.0081,0.860231086569219,0.863469988922909,2.23180107549213,"Top 1"
786,"MG","MG 23:0_CAH_MG 23:0",446.421,3.2224,"[M+NH4]+",1,0.1835,0.873971573121932,0.874879882364279,2.93235145548621,"Top 1"
860,"NAE","NAE 28:7_CAH_NAE 28:7",454.368,3.4771,"[M+H]+",1,0.254,0.5,0.5,2.254,"Top 1"
521,"CAR","CAR 20:1_CAH_CAR 20:1",454.389,2.286,"[M]+",1,0.1133,0.794945472005932,0.794945472005932,2.70319094401186,"Top 1"
521,"MG","MG 24:3_CAH_MG 24:3",454.389,2.286,"[M+NH4]+",1,0.0845,0.791636852995008,0.791636852995008,2.66777370599002,"Top 2"
3926,"TG-O","TG-O 48:1_CAH_TG-O 14:0_16:0_18:1",808.775,14.1414,"[M+NH4]+",0.6667,0.0242,0.874149144297911,0.874795221652372,2.43984436595028,"Top 1"
3711,"TG","TG 47:1_CAH_TG 12:0_17:0_18:1",808.739,13.3937,"[M+NH4]+",0.6667,0.0229,0.868654955158758,0.869380421836148,2.42763537699491,"Top 1"
375,"LDGTS","LDGTS 15:1_CAH_LDGTS 15:1",458.347,1.778,"[M+H]+",0.5,0.0041,0.5,0.5,1.5041,"Top 1"
3764,"TG","TG 47:1_CAH_TG 15:0_16:0_16:1",808.738,13.5837,"[M+NH4]+",1,0.072,0.842959240195244,0.869304230074059,2.7842634702693,"Top 1"
3851,"TG-O","TG-O 48:2_CAH_TG-O 18:1_14:0_16:1",806.759,13.8793,"[M+NH4]+",0.6667,0.012,0.873441578135592,0.874894667890591,2.42703624602618,"Top 1"
3645,"TG","TG 47:2_CAH_TG 14:1_15:0_18:1",806.723,13.1692,"[M+NH4]+",1,0.0247,0.866713768721154,0.872813841492224,2.76422761021338,"Top 1"
475,"LPE-O","LPE-O 18:2_CAH_LPE-O 18:2",464.314,2.1224,"[M+H]+",1,0.0295,0.5,0.5,2.0295,"Top 1"
475,"Cer","Cer 30:10_CAH_Cer 20:1;2O/10:9",464.314,2.1224,"[M+H]+",0.75,0.0837,0.5,0.5,1.8337,"Top 2"
357,"LPE-O","LPE-O 18:1_CAH_LPE-O 18:1",466.329,1.7168,"[M+H]+",1,0.084,0.5,0.5,2.084,"Top 2"
357,"Cer","Cer 30:9_CAH_Cer 18:1;2O/12:8",466.329,1.7168,"[M+H]+",0.75,0.0495,0.874461452606246,0.874461452606246,2.54842290521249,"Top 1"
588,"Cer","Cer 30:9_CAH_Cer 10:9;2O/20:0",466.33,2.5138,"[M+H]+",0.75,0.0541,0.181467251848511,0.5,1.48556725184851,"Top 1"
2879,"GPNAE","GPNAE 41:3_CAH_GPNAE 41:3",798.635,10.4903,"[M+H]+",1,0.0162,0.5,0.5,2.0162,"Top 1"
2292,"PC","PC 37:3_CAH_PC 37:3",798.6,8.4724,"[M+H]+",0.5,0.2337,0.874344330415249,0.871044792966677,2.47908912338193,"Top 1"
3748,"TG","TG 46:0_CAH_TG 14:0_14:0_18:0",796.738,13.5239,"[M+NH4]+",0.5,0.0386,0.874699862571574,0.874112333319018,2.28741219589059,"Top 1"
2658,"DG-O","DG-O 50:14_CAH_DG-O 30:14_20:0",796.621,9.7294,"[M+NH4]+",1,0.0106,0.5,0.5,2.0106,"Top 1"
2658,"PE-P","PE-P 41:3_CAH_PE-P 21:3_20:0",796.621,9.7294,"[M+H]+",0.75,0.0106,0.5,0.5,1.7606,"Top 2"
2658,"CAR","CAR 46:12_CAH_CAR 46:12",796.621,9.7294,"[M]+",0.5,0.0089,0.5,0.5,1.5089,"Top 3"
2713,"GPNAE","GPNAE 41:4_CAH_GPNAE 41:4",796.619,9.9238,"[M+H]+",1,0.0085,0.872886146929317,0.872886146929317,2.75427229385863,"Top 1"
3308,"CoQ9_CAH_CoQ9","CoQ9_CAH_CoQ9",795.629,11.9827,"[M+H]+",0.5,0.2332,0.5,0.5,1.7332,"Top 1"
405,"LPC-O","LPC-O 16:1_CAH_LPC-O 16:1",480.345,1.8817,"[M+H]+",0.75,0.0308,0.5,0.5,1.7808,"Top 1"
3672,"TG","TG 46:1_CAH_TG 15:0_15:0_16:1",794.723,13.2668,"[M+NH4]+",1,0.0398,0.874753696947891,0.872697566431589,2.78725126337948,"Top 1"
430,"Cer","Cer 31:8_CAH_Cer 12:8;2O/19:0",482.361,1.9734,"[M+H]+",0.75,0.0319,0.5,0.5,1.7819,"Top 2"
430,"LPE-O","LPE-O 19:0_CAH_LPE-O 19:0",482.361,1.9734,"[M+H]+",1,0.0385,0.874082233568496,0.874082233568495,2.78666446713699,"Top 1"
3614,"TG","TG 46:2_CAH_TG 15:0_15:0_16:2",792.707,13.0621,"[M+NH4]+",0.5,0.0096,0.87453639818974,0.873991747557102,2.25812814574684,"Top 1"
3559,"TG","TG 46:2_CAH_TG 14:0_14:0_18:2",792.707,12.8647,"[M+NH4]+",0.5,0.0176,0.871930559511319,0.872553178072943,2.26208373758426,"Top 1"
